[    49,    151,    476]
[    80,    123,    308]
[   123,     80,    308]
[   131,    155,    254]
[   155,    131,    254]
[    93,      6,    576]
[    93,     58,    615]
[    58,      6,    576]
[    58,      3,    545]
[    93,      3,    545]
[     6,      3,    545]
[    58,     26,    537]
[    93,     26,    537]
[     6,     26,    537]
[    35,    163,    495]
[   163,     35,    495]
[    70,     21,      3]
[   156,    202,    421]
[   202,    156,    421]
[    60,     59,      1]
